Jahr,Kanton,Wirtschaftsart (NOGA 2008),Grössenklasse,Arbeitsstätten,Beschäftigte,Beschäftigte Männer,Beschäftigte Frauen,Vollzeitäquivalente
2012,Schaffhausen,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
2012,Schaffhausen,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2012,Appenzell Ausserrhoden,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,17,49,6,43,31.7
2012,Appenzell Ausserrhoden,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,0,0,0,0,0
2012,Appenzell Ausserrhoden,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
2012,Appenzell Ausserrhoden,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2012,Appenzell Innerrhoden,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,7,14,1,13,7.1
2012,Appenzell Innerrhoden,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,0,0,0,0,0
2012,Appenzell Innerrhoden,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
2012,Appenzell Innerrhoden,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2012,St. Gallen,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,128,335,47,288,225.7
2012,St. Gallen,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,3,61,17,44,51.3
2012,St. Gallen,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
2012,St. Gallen,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2012,Graubünden / Grigioni / Grischun,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,38,116,14,102,75.5
2012,Graubünden / Grigioni / Grischun,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,2,39,21,18,34.3
2012,Graubünden / Grigioni / Grischun,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
2012,Graubünden / Grigioni / Grischun,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2012,Aargau,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,166,446,47,399,297.8
2012,Aargau,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,2,37,6,31,32.7
2012,Aargau,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,1,115,60,55,105.2
2012,Aargau,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2012,Thurgau,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,70,207,33,174,133.1
2012,Thurgau,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,1,22,7,15,16.6
2012,Thurgau,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
2012,Thurgau,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2012,Ticino,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,70,166,36,130,118.4
2012,Ticino,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,0,0,0,0,0
2012,Ticino,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
2012,Ticino,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2012,Vaud,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,154,415,72,343,273.1
2012,Vaud,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,5,128,37,91,99.9
2012,Vaud,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,1,182,92,90,163.2
