Jahr,Kanton,Wohnbevölkerung am 31.12.2013,Wirtschaftsart (NOGA 2008),Grössenklasse,Arbeitsstätten,Beschäftigte,Beschäftigte / Wohnbevolkerung,Beschäftigte Männer,Beschäftigte Frauen,Vollzeitäquivalente
2012,Basel-Landschaft,278656,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,60,160,0.0005741847,25,135,99.9
2012,Basel-Landschaft,278656,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,3,46,0.0001650781,14,32,35.7
2012,Basel-Landschaft,278656,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2012,Basel-Landschaft,278656,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2012,Schaffhausen,78783,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,21,64,0.000812358,10,54,44.2
2012,Schaffhausen,78783,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,0,0,0,0,0,0
2012,Schaffhausen,78783,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2012,Schaffhausen,78783,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2012,Appenzell Ausserrhoden,53691,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,17,49,0.0009126297,6,43,31.7
2012,Appenzell Ausserrhoden,53691,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,0,0,0,0,0,0
2012,Appenzell Ausserrhoden,53691,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2012,Appenzell Ausserrhoden,53691,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2012,Appenzell Innerrhoden,15778,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,7,14,0.0008873114,1,13,7.1
2012,Appenzell Innerrhoden,15778,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,0,0,0,0,0,0
2012,Appenzell Innerrhoden,15778,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2012,Appenzell Innerrhoden,15778,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2012,St. Gallen,491699,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,128,335,0.0006813111,47,288,225.7
2012,St. Gallen,491699,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,3,61,0.0001240596,17,44,51.3
2012,St. Gallen,491699,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2012,St. Gallen,491699,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2012,Graubünden / Grigioni / Grischun,194959,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,38,116,0.0005949969,14,102,75.5
2012,Graubünden / Grigioni / Grischun,194959,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,2,39,0.0002000421,21,18,34.3
2012,Graubünden / Grigioni / Grischun,194959,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2012,Graubünden / Grigioni / Grischun,194959,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2012,Aargau,636362,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,166,446,0.0007008589,47,399,297.8
2012,Aargau,636362,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,2,37,0.000058143,6,31,32.7
2012,Aargau,636362,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,1,115,0.0001807148,60,55,105.2
2012,Aargau,636362,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2012,Thurgau,260278,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,70,207,0.0007953035,33,174,133.1
2012,Thurgau,260278,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,1,22,0.000084525,7,15,16.6
2012,Thurgau,260278,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2012,Thurgau,260278,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2012,Ticino,346539,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,70,166,0.0004790226,36,130,118.4
2012,Ticino,346539,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,0,0,0,0,0,0
2012,Ticino,346539,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2012,Ticino,346539,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2012,Vaud,749373,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,154,415,0.0005537963,72,343,273.1
2012,Vaud,749373,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,5,128,0.0001708095,37,91,99.9
2012,Vaud,749373,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,1,182,0.0002428697,92,90,163.2
